machine_id,tag,timestamp,metric1,metric2,metric3,running_hours,downtime_hours
M01,Line-A,2026-02-01 08:00,52.4,12.1,105.2,1650.0,1.20
M01,Line-A,2026-02-02 08:00,53.1,11.8,108.7,1672.5,0.80
M01,Line-A,2026-02-03 08:00,51.7,12.6,102.3,1694.0,1.60
M01,Line-A,2026-02-04 08:00,54.0,13.0,110.1,1716.5,0.90
M01,Line-A,2026-02-05 08:00,52.9,12.4,106.4,1739.0,1.10
M02,Line-A,2026-02-01 08:00,55.2,13.4,112.8,1800.0,0.50
M02,Line-A,2026-02-02 08:00,54.8,13.1,115.1,1823.0,1.00
M02,Line-A,2026-02-03 08:00,56.0,13.9,110.2,1846.0,0.80
M02,Line-A,2026-02-04 08:00,55.5,13.6,113.6,1869.0,1.20
M02,Line-A,2026-02-05 08:00,54.1,13.2,111.9,1892.0,0.70
M03,Line-A,2026-02-01 08:00,58.7,14.2,120.3,2100.0,2.00
M03,Line-A,2026-02-02 08:00,59.1,14.5,122.7,2122.0,1.50
M03,Line-A,2026-02-03 08:00,58.2,14.0,118.1,2144.5,1.20
M03,Line-A,2026-02-04 08:00,59.8,14.8,124.4,2167.0,1.80
M03,Line-A,2026-02-05 08:00,58.5,14.3,119.6,2189.5,1.40
M04,Line-A,2026-02-01 08:00,60.1,15.0,125.1,2450.0,0.30
M04,Line-A,2026-02-02 08:00,60.4,15.2,127.3,2473.5,0.60
M04,Line-A,2026-02-03 08:00,59.9,14.8,124.8,2497.0,0.40
M04,Line-A,2026-02-04 08:00,61.0,15.5,128.9,2520.5,0.50
M04,Line-A,2026-02-05 08:00,60.5,15.1,126.2,2544.0,0.30
M05,Line-B,2026-02-01 08:00,4.2,32.5,1450,3200.0,1.80
M05,Line-B,2026-02-02 08:00,4.3,33.1,1462,3222.0,2.10
M05,Line-B,2026-02-03 08:00,4.1,32.0,1441,3243.5,1.90
M06,Line-B,2026-02-01 08:00,4.6,34.2,1478,3500.0,0.80
M06,Line-B,2026-02-02 08:00,4.7,34.6,1491,3523.0,0.90
M06,Line-B,2026-02-03 08:00,4.5,33.9,1467,3546.0,0.70
M07,Line-B,2026-02-01 08:00,4.9,35.4,1502,3800.0,1.50
M07,Line-B,2026-02-02 08:00,5.0,35.8,1514,3822.0,1.40
M07,Line-B,2026-02-03 08:00,4.8,35.0,1495,3844.5,1.20
M08,Line-B,2026-02-01 08:00,5.2,36.5,1528,4000.0,0.90
M08,Line-B,2026-02-02 08:00,5.3,36.9,1540,4023.0,0.80
M08,Line-B,2026-02-03 08:00,5.1,36.1,1519,4046.0,0.70
